sentence	sentence_id	locale	reason
Necesito un llavero nuevo para las llaves	a29b85da4ca3d1870a4e8b21c5be706d89f9b644b1e3ebd84a2d1757e9b38c27	es	offensive-language
Necesito un llavero nuevo para las llaves	a29b85da4ca3d1870a4e8b21c5be706d89f9b644b1e3ebd84a2d1757e9b38c27	es	grammar-or-spelling
Necesito un llavero nuevo para las llaves	a29b85da4ca3d1870a4e8b21c5be706d89f9b644b1e3ebd84a2d1757e9b38c27	es	different-language
Necesito un llavero nuevo para las llaves	a29b85da4ca3d1870a4e8b21c5be706d89f9b644b1e3ebd84a2d1757e9b38c27	es	difficult-pronounce
otra vez ese trabajo, ¿ verdad?	b4f17100ff0725082bfa4138f8499e181cba419da84586d904e2f00591063b4c	es	offensive-language
la donada murmuró con tímida curiosidad:	7274dca7754818f338f9bd64114eafdc927dc4eb3c6cb6efed67d3b0b02b5699	es	offensive-language
la donada murmuró con tímida curiosidad:	7274dca7754818f338f9bd64114eafdc927dc4eb3c6cb6efed67d3b0b02b5699	es	grammar-or-spelling
la donada murmuró con tímida curiosidad:	7274dca7754818f338f9bd64114eafdc927dc4eb3c6cb6efed67d3b0b02b5699	es	different-language
la donada murmuró con tímida curiosidad:	7274dca7754818f338f9bd64114eafdc927dc4eb3c6cb6efed67d3b0b02b5699	es	difficult-pronounce
la donada murmuró con tímida curiosidad:	7274dca7754818f338f9bd64114eafdc927dc4eb3c6cb6efed67d3b0b02b5699	es	"ntfuhnsdgbffnsaxnb b
sdhdjnmfdfkvsd,dsfdbgfnj ,f
fgdjng dfdj"
Estudió en la New York University’s Tisch School of the Arts.	001ccb90ce9d9a70290be1663b46cdc292787d3d76c0946ac28ff7f9a1ed6a64	es	different-language
"Fue parodiado como ""He's Got My Name"" en Johnny Johnny en Cartoon Network."	00086339fccc38f0b89bad4b75d215c5abe6adf69a5eb4d75a981ce50af23a9b	es	different-language
The Los Angeles Times.	000ac7a31cbb67bcdaadb20e855f64c5fd0d291df92b7a927f754e3f010a2b2d	es	different-language
"Davis ""et al."	00382614e096770b4d0086ff972ba8106dc8f943ed1c8bf680e6580d459b6dd4	es	different-language
