,accent,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
0,España,1216.3825383898413,1568.6103031231396,2587.845203488372,-412.54977,164.15321,10.811714,35.996063,20.9604,-3.9517424,16.321898,-4.442511,-9.238402,6.4244337,-7.643149,-2.0122745,5.432637
1,España,1204.7402942558135,1563.7131977803433,2584.941484063745,-356.3729,161.04774,10.674234,31.82754,21.674076,-0.5227356,16.786007,-2.6704288,-7.6221576,6.294351,-7.4987044,-3.2709255,4.291996
2,España,1211.7498486419072,1535.3408505351358,2584.8451327433627,-357.5902,171.70476,4.096711,30.806465,22.20866,-0.6306937,17.701578,-6.1836534,-10.549369,6.147672,-9.595118,-3.7838142,5.321981
3,España,1333.6268795224548,1630.0198348306437,2835.6385522959185,-375.31876,168.57375,-0.1704578,32.58923,18.115736,-6.4523115,18.723833,-3.6791003,-6.682271,11.162244,-6.3821845,-0.5886741,7.1547565
4,España,1242.1312050098466,1580.3621464488747,2738.289578891258,-364.9778,170.42747,2.5060897,30.310652,20.346739,-1.9062846,18.171799,-7.3200836,-12.2243,7.3147635,-5.736323,0.48154968,7.409584
5,España,1144.9424026437737,1515.3223784188235,2444.9103860294117,-359.61404,167.35773,11.882568,32.476185,19.79013,-2.0873127,16.281008,-5.7000012,-9.444499,7.029036,-7.9498997,-3.3157983,6.0651464
6,España,1265.4165787706545,1497.0489609855767,2617.6327720207255,-344.76318,156.97676,17.757616,23.450539,19.649052,4.109625,11.760427,-8.253255,-11.271018,3.8489363,-5.6977262,-3.7872615,2.806558
7,España,1305.428759183914,1542.6588552338585,2714.817880794702,-357.01193,156.12563,16.186518,25.192966,16.110718,-0.01685729,14.30995,-5.495898,-10.700159,3.932415,-6.168226,-2.4001791,5.7852106
8,España,1104.966033299968,1395.3442613202735,2200.56270096463,-344.664,174.65997,14.910989,30.37757,23.03708,3.6964877,17.04659,-8.317203,-14.573174,2.8011558,-7.979412,-4.0594935,2.94989
9,España,1475.7043782099088,1132.8215426299657,2644.844487028302,-585.58673,124.65629,13.329678,-7.7843885,13.048413,6.38433,-6.5556536,-3.1862602,-1.6472058,-9.8359995,-10.866629,-2.8835926,-2.6218414
10,España,1692.882895656155,1225.5206892830588,2975.1616379310344,-626.77856,135.51834,2.203323,-5.5098515,14.387644,-1.960171,-8.601057,-0.30795434,1.4061637,-7.6342254,-12.2328005,-2.439467,-0.27546766
11,España,1491.631939876552,1145.020389851272,2664.078062749004,-567.0364,152.0143,0.67322713,-14.3894615,17.10286,3.063978,-12.848209,-4.1188383,0.6637227,-10.317521,-14.024148,-1.9877034,0.43450657
12,España,1592.1901967842155,1192.558569189833,2910.6168926886794,-588.4272,147.30128,-9.0016365,-11.205151,23.239206,5.293349,-11.454051,-5.548432,0.3604596,-8.12026,-14.337342,-2.671868,-0.18715218
13,España,1398.4031904508897,1056.1913258784875,2485.560554474708,-632.2618,128.5444,10.20498,-3.6083586,11.078248,0.778223,-4.8221827,-3.431694,-4.1928954,-8.261773,-9.682081,-2.2788267,-1.4517324
14,España,1404.4593535541524,1014.5125856863696,2475.0,-666.54553,125.88791,4.514585,-8.579223,14.848607,10.292396,-4.500736,-11.652732,-3.7155764,0.40546337,-8.015826,-6.0287023,-0.79637116
15,España,1426.469598613434,1045.4769102221387,2550.3870412844035,-652.2377,114.13606,-0.8473859,-7.613556,14.185947,3.35246,-7.1437325,-5.3417544,-2.0520802,-5.3665643,-9.022669,-2.6963181,-0.270708
16,España,2052.6059134753023,1421.1430608282728,3650.9633458646617,-647.9121,104.41073,-3.8084095,-5.9923816,12.77261,-0.10858086,-7.002732,-2.3621767,0.75622994,-3.9415982,-8.894394,-2.56186,-0.27476835
17,España,1635.11036564929,1260.154470890003,2883.2197152509652,-610.726,155.7675,4.823025,0.05870557,17.207966,-9.516428,-13.375922,1.9501492,2.1131096,-8.76969,-12.624141,-5.068199,-3.777169
18,España,1608.4311515285196,1348.9847473656932,2889.646432238193,-414.66574,109.97216,7.831642,-3.7899373,5.9362693,1.815422,-3.8930209,-15.435548,-13.154413,-2.904927,-5.6819897,-5.6929455,-1.8569875
19,España,1478.9325061723966,1406.2638661922367,2799.5247538293215,-410.15933,100.64441,10.408071,4.807992,5.696231,-1.8150388,-1.3198458,-12.563603,-11.439336,-0.24029046,-6.943522,-9.428788,-3.8528817
20,España,1489.6454633004937,1367.097514643105,2831.689927184466,-413.03665,149.58578,8.365251,-4.514792,6.6346946,2.6191375,1.1811593,-17.951406,-22.347137,-9.181769,-12.090869,-11.438544,-4.209415
21,España,1235.9848422913165,1216.6850223738459,2365.2597402597403,-416.7982,136.58768,17.140045,-1.0853727,15.672565,11.125353,-2.1005998,-15.566175,-15.620153,-7.4948764,-6.9311447,-8.036268,-9.282091
22,España,1471.3851533820068,1253.7420089496995,2641.0681726094003,-432.92584,112.30327,19.592276,2.84642,4.7521334,3.457366,3.62613,-6.95527,-8.287664,-5.103982,-10.160917,-5.5027723,-3.8198175
23,España,1438.345924287414,1242.5298656750088,2595.7367351816442,-397.4565,132.06616,17.035233,-0.30511406,1.6658643,-1.5592741,2.870073,-5.0364027,-6.296907,-3.8463953,-12.365686,-9.044814,-3.9666138
24,España,1688.1562292344888,1356.5930488475037,3077.7138157894738,-395.9956,120.38579,13.155081,0.085742705,1.8216021,-1.0922173,2.598069,-7.423797,-6.6662316,0.7523113,-5.788051,-6.3250313,-6.924097
25,España,1805.1857346446986,1451.6380478819951,3239.192407621247,-427.18744,131.61736,-3.6943557,-0.8658509,0.6785206,-13.153257,-2.7955203,-5.376793,-0.03166019,5.8271046,-8.949769,-6.9391804,-2.882004
26,España,1686.340860476777,1326.5621842670573,3000.0571646341464,-393.07816,138.39331,10.399245,-5.609736,-3.895523,-8.677431,-1.418126,-5.721209,-2.3845468,1.3392273,-10.2829075,-7.156307,-1.2728324
27,España,1563.189154623433,1639.7787961120634,3313.302521658416,-503.54504,72.79428,16.526384,15.185733,22.835125,13.263781,8.453451,7.3364205,3.8409352,1.5750608,-1.8088034,-5.239482,-4.848052
28,España,1370.1908310082536,1448.193088279132,2886.750302907916,-519.671,157.15414,6.513826,14.72661,31.017044,10.843538,10.732774,5.2287664,1.0739254,4.774271,-5.5813756,-10.825513,-7.8664813
29,España,1575.7546032445898,1623.5862052289035,3375.419207317073,-510.74725,123.929344,10.302353,12.341344,23.92774,9.173114,9.376399,7.2738347,2.906047,2.7993739,-4.309859,-7.867013,-5.480472
30,España,1565.6038395602777,1603.5960887940687,3317.956972361809,-482.8238,139.19537,-1.1651306,19.498667,32.585308,12.059493,14.119633,1.7207984,-2.2794409,6.962066,-4.20691,-9.224904,-6.4269943
31,España,1643.896400546524,1591.1205180317656,3381.2118186090224,-458.70248,143.27322,-6.545811,16.350874,34.08335,9.596659,11.9464655,4.0931973,-4.5652394,0.53033996,-7.120251,-9.568241,-3.5581663
32,España,1705.599241024832,1638.0252070482634,3482.573574029126,-497.93985,135.1661,-2.4494066,17.391878,29.212824,6.098357,13.437006,7.8475065,-2.052206,3.290266,-3.908503,-9.238565,-5.232397
33,España,1463.3773632167524,1496.923462461887,3008.684961928934,-501.82312,158.98401,-3.7381735,8.636033,24.382736,6.2317686,16.82927,11.045948,-0.4422644,4.3131638,-1.8627831,-5.5385456,-2.7585592
34,España,1657.2254926306077,1626.2581349085906,3457.102560851927,-499.09262,149.71996,-10.649519,19.952927,30.623274,1.3692999,16.978546,11.895217,-2.7355995,4.539382,-2.5653143,-7.792726,-1.5123389
35,España,1724.4509736076438,1735.2077968697927,3700.1433062130177,-544.81976,125.903336,-1.4991834,22.525963,28.866375,5.8481135,18.480778,12.4304905,0.9621152,6.189672,-2.261133,-6.581392,-2.301255
36,España,1716.4563770761058,1606.9723322755335,3414.0625,-352.1141,158.10634,-3.4114857,14.0181,18.703924,0.4352989,8.085223,-3.581433,-2.4524624,-2.073129,-15.370011,0.9810898,6.2566
37,España,1456.4289853938515,1458.5361194404175,2921.56374501992,-298.8189,160.57014,9.606823,8.550946,17.631767,4.374277,4.7246213,-3.465354,0.6059467,0.8743917,-15.603797,-6.5118375,4.6370378
38,España,1621.3317927021567,1576.9365813692382,3239.2563169984687,-326.664,141.26414,5.246388,13.954658,19.190222,3.6984935,6.4895062,-4.2167497,-3.1674168,-0.59412736,-12.39507,-2.5288746,3.9917567
